gov_stats_code,gov_stats_name,organization,department,stats_type,cycle,data_list_status,has_file,has_db,org_info,org_info_link
00450491,裁量労働制実態調査,厚生労働省,労働基準局労働条件政策課,一般統計,１回限り,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450491
00450492,労働時間制度等に関する実態調査,厚生労働省,労働基準局労働条件政策課,一般統計,１回限り,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450492
00450501,年金制度に関する総合調査,厚生労働省,年金局総務課,一般統計,１回限り,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450501
00450521,水道事業における耐震化の状況,厚生労働省,健康・生活衛生局水道課,業務統計,年,-,-,-,-,
00450531,検疫所業務年報,厚生労働省,,業務統計,年,-,-,-,-,
00450532,輸入食品監視統計,厚生労働省,,業務統計,年,-,-,-,-,
00450541,労働基準監督年報,厚生労働省,労働基準局監督課,業務統計,年,-,-,-,-,
00450551,労働災害発生状況,厚生労働省,労働基準局安全衛生部安全課,業務統計,月,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450551
00450561,労働保険の適用徴収状況,厚生労働省,労働基準局労働保険徴収課,業務統計,月、年,-,-,-,-,
00450571,石綿による疾病に関する労災保険給付などの請求・決定状況,厚生労働省,労働基準局補償課,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450571
00450572,過労死等の労災補償状況,厚生労働省,労働基準局補償課,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450572
00450581,労災保険事業月報,厚生労働省,労働基準局労災保険業務課,業務統計,月,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450581
00450582,労働者災害補償保険事業年報,厚生労働省,労働基準局労災保険業務課,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450582
00450591,障害者雇用状況,厚生労働省,職業安定局障害者雇用対策課,業務統計,年,-,-,-,-,
00450592,障害者職業紹介状況,厚生労働省,職業安定局障害者雇用対策課,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450592
00450601,労働者派遣事業報告書の集計結果,厚生労働省,職業安定局需給調整事業課,業務統計,年,-,-,-,-,
00450602,職業紹介事業報告書の集計結果,厚生労働省,職業安定局需給調整事業課,業務統計,年,-,-,-,-,
00450603,特定募集情報等提供事業概況報告書の集計結果,厚生労働省,職業安定局需給調整事業課,業務統計,年,-,-,-,-,
00450621,高年齢者の雇用状況等,厚生労働省,職業安定局高齢者雇用対策課,業務統計,年,-,-,-,-,
00450631,「技能検定」の実施状況まとめ,厚生労働省,,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450631
00450632,「若年技能者人材育成支援等事業」に係るものづくりマイスター認定状況,厚生労働省,,業務統計,年５回,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450632
00450643,ハロートレーニング（公共職業訓練）の実施状況,厚生労働省,,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450643
00450701,次世代育成支援対策推進法に基づく一般事業主行動計画策定届の届出及び認定状況,厚生労働省,雇用環境・均等局職業生活両立課,業務統計,四半期,-,-,-,-,
00450711,使用者による障害者虐待の状況等,厚生労働省,雇用環境・均等局総務課,業務統計,年,-,-,-,-,
00450712,個別労働紛争解決制度施行状況,厚生労働省,雇用環境・均等局総務課,業務統計,年,-,-,-,-,
00450713,フリーランスの業務及び就業環境に関する実態調査,厚生労働省,,一般統計,１回限り,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450713
00450714,勤務間インターバル制度に関する実態調査,厚生労働省,,一般統計,１回限り,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450714
00450731,特定健診・特定保健指導の実施状況,厚生労働省,,業務統計,年,-,-,-,-,
00450741,厚生年金基金の財政状況等,厚生労働省,年金局企業年金・個人年金課,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450741
00450742,厚生年金基金の解散・代行返上の状況,厚生労働省,年金局企業年金・個人年金課,業務統計,不定期,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450742
00450743,厚生年金基金等の未請求者の状況,厚生労働省,年金局企業年金・個人年金課,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450743
00450744,国民年金基金等の未請求者の状況,厚生労働省,年金局企業年金・個人年金課,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450744
00450745,確定拠出年金の施行状況,厚生労働省,年金局企業年金・個人年金課,業務統計,月,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450745
00450746,企業型年金の運用実態について,厚生労働省,年金局企業年金・個人年金課,業務統計,月,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450746
00450747,規約数等の推移,厚生労働省,年金局企業年金・個人年金課,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450747
00450748,確定給付企業年金の事業状況等,厚生労働省,年金局企業年金・個人年金課,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450748
00450749,厚生年金基金資産運用業務報告書,厚生労働省,年金局企業年金・個人年金課,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450749
00450751,年金記録に係る訂正請求の受付・処理状況,厚生労働省,年金局事業管理課年金記録審査室,業務統計,月,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00450751
00450771,民間主要企業夏季一時金妥結状況,厚生労働省,,業務統計,年,-,-,-,-,
00450772,民間主要企業春季賃上げ要求・妥結状況,厚生労働省,,業務統計,年,-,-,-,-,
00450773,民間主要企業年末一時金妥結状況,厚生労働省,,業務統計,年,-,-,-,-,
00450801,かかりつけ歯科医機能の在り方に関する調査,厚生労働省,保険局医療課,一般統計,１回限り,-,-,-,-,
00452001,賃金事情等総合調査,,事務局総務課広報調査室,業務統計,年、２年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00452001
00500000,産業連関構造調査,農林水産省,大臣官房統計部統計企画管理官,一般統計,５年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500000
00500001,農業・食料関連産業の経済計算,農林水産省,大臣官房統計部統計企画管理官,加工統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500001
00500002,農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）,農林水産省,統計部統計企画管理官,加工統計,５年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500002
00500100,農林水産物輸出入統計,農林水産省,輸出・国際局国際経済課,加工統計,月、年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500100
00500200,農林水産業生産指数,農林水産省,大臣官房統計部統計企画管理官,加工統計,年,-,-,-,-,
00500201,農業経営統計調査,農林水産省,大臣官房統計部経営・構造統計課,基幹統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500201
00500202,林業経営統計調査,農林水産省,大臣官房統計部経営・構造統計課,一般統計,５年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500202
00500203,漁業経営統計調査,農林水産省,大臣官房統計部経営・構造統計課,一般統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500203
00500204,農業物価統計調査,農林水産省,大臣官房統計部経営・構造統計課,一般統計,月、年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500204
00500205,環境保全型農業推進農家の経営分析調査,農林水産省,大臣官房統計部経営・構造統計課,その他,１回限り,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00500205
00500206,生産農業所得統計,農林水産省,大臣官房統計部経営・構造統計課,加工統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500206
00500207,林業産出額,農林水産省,大臣官房統計部経営・構造統計課,加工統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00500207
00500208,漁業産出額,農林水産省,大臣官房統計部経営・構造統計課,加工統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500208
00500209,農林業センサス,農林水産省,,基幹統計,５年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500209
00500210,漁業センサス,農林水産省,,基幹統計,５年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500210
00500211,農業構造動態調査,農林水産省,,一般統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500211
00500212,農林水産業新規就業者等調査,農林水産省,,その他,年,-,-,-,-,
00500213,漁業構造動態調査,農林水産省,,一般統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500213
00500214,農道・林道整備状況調査,農林水産省,,その他,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00500214
00500215,作物統計調査,農林水産省,,基幹統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500215
00500216,海面漁業生産統計調査,農林水産省,,基幹統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500216
00500217,木材統計調査,農林水産省,,基幹統計,月、年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500217
00500218,遊漁採捕量調査,農林水産省,,その他,５年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00500218
00500219,木材流通統計調査,農林水産省,,一般統計,月、５年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500219
00500220,内水面漁業生産統計調査,農林水産省,,一般統計,年,-,-,-,-,
00500221,特定作物統計調査,農林水産省,,一般統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00500221
00500222,畜産統計調査,農林水産省,大臣官房統計部生産流通消費統計,一般統計,,登録あり,〇,○,作成機関情報,
00500223,持続的生産環境に関する実態調査,農林水産省,,その他,年,-,-,-,-,
00500224,繭生産統計,農林水産省,,その他,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00500224
00500225,牛乳乳製品統計調査,農林水産省,,基幹統計,月、年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500225
00500226,青果物卸売市場調査,農林水産省,,一般統計,,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500226
00500227,畜産物流通調査,農林水産省,,一般統計,日、月、年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500227
00500228,水産物流通調査,農林水産省,,一般統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500228
00500229,花き卸売市場調査,農林水産省,,その他,月,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00500229
00500230,食品産業動向調査,農林水産省,,その他,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00500230
00500231,食品循環資源の再生利用等実態調査,農林水産省,,一般統計,５年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500231
00500232,食品流通段階別価格形成調査,農林水産省,,一般統計,５年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500232
00500233,食品流通構造調査,農林水産省,,その他,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00500233
00500234,農産物地産地消等実態調査,農林水産省,,一般統計,不定期,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00500234
00500235,生鮮野菜価格動向調査,農林水産省,,一般統計,四半期,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500235
00500236,新規就農者調査,農林水産省,,一般統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500236
00500237,新規就農者就業状態調査,農林水産省,,一般統計,５年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00500237
00500238,集落営農実態調査,農林水産省,,一般統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00500238
00500239,集落営農実態調査（集落営農活動実態調査）,農林水産省,,一般統計,年,-,-,-,-,
00500240,農業資源調査,農林水産省,,一般統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00500240
